Orthogroup	pathogen_class_type	logFC
OG0010232	bacterium	1.28158044810947
OG0010239	bacterium	1.02173192393094
OG0010247	bacterium	2.04402372209966
OG0010259	bacterium	1.22193320914928
OG0010268	bacterium	1.36454420845318
OG0010284	bacterium	1.4995192540803
OG0010327	bacterium	1.85761212879428
OG0010356	bacterium	1.41583242605087
OG0010396	bacterium	3.16914047696144
OG0010402	bacterium	2.85290079341427
OG0010421	bacterium	5.54673320932476
OG0010445	bacterium	1.38798058866607
OG0010509	bacterium	3.78723516468891
OG0010553	bacterium	1.85742115378518
OG0010555	bacterium	1.16777910602863
OG0010731	bacterium	1.33859483424616
OG0010739	bacterium	1.14660840037499
OG0010756	bacterium	2.4563455510227
OG0010768	bacterium	2.94657607473957
OG0010825	bacterium	1.03078713503681
OG0010827	bacterium	3.30092837304797
OG0010846	bacterium	3.0317228063261
OG0010849	bacterium	1.2368910859809
OG0010862	bacterium	1.13398871046954
OG0010871	bacterium	3.63979406139667
OG0010885	bacterium	1.07029336654285
OG0010949	bacterium	1.70323055776848
OG0010964	bacterium	2.03042705843603
OG0011012	bacterium	2.24689454527281
OG0011067	bacterium	1.15611300082658
OG0011080	bacterium	1.92055897124325
OG0011111	bacterium	1.18002542089654
OG0011118	bacterium	2.71741157208706
OG0011191	bacterium	1.27372106510772
OG0011197	bacterium	1.22566478849972
OG0011232	bacterium	1.45116432744131
OG0011247	bacterium	1.19210853775423
OG0011295	bacterium	1.30759603113597
OG0011299	bacterium	1.32937240967603
OG0011303	bacterium	1.3138435458927
OG0011319	bacterium	1.55291303512358
OG0011332	bacterium	1.22796330546191
OG0011346	bacterium	3.67606470780765
OG0011375	bacterium	2.69482253088405
OG0011614	bacterium	4.22458878101761
OG0011620	bacterium	1.98794849103832
OG0011623	bacterium	2.15071557464335
OG0011647	bacterium	1.10741701609832
OG0011662	bacterium	2.47076833311382
OG0011675	bacterium	1.12333436214601
OG0011690	bacterium	1.09883606781784
OG0011720	bacterium	1.28069842955831
OG0011726	bacterium	1.2515212814133
OG0011736	bacterium	1.41857710567472
OG0011752	bacterium	1.00086707348086
OG0011766	bacterium	1.52790625277368
OG0011786	bacterium	1.96828273967608
OG0011829	bacterium	1.15954521149508
OG0011842	bacterium	1.87879794230715
OG0011885	bacterium	1.07674739984961
OG0011938	bacterium	1.31057700157497
OG0011939	bacterium	1.36318914942652
OG0012019	bacterium	1.28234472598645
OG0012026	bacterium	1.0040291262091
OG0012054	bacterium	3.12865162202908
OG0012056	bacterium	1.55214176222474
OG0012164	bacterium	3.4268094676213
OG0012325	bacterium	1.90213034149991
OG0012351	bacterium	1.61776756599527
OG0012373	bacterium	1.03270155581138
OG0012391	bacterium	1.08793140435822
OG0012392	bacterium	2.43284907074208
OG0012435	bacterium	3.19638161085652
OG0012444	bacterium	1.18466449862909
OG0012513	bacterium	3.7592643057674
OG0012516	bacterium	1.40662974800219
OG0012520	bacterium	1.52694016670602
OG0012544	bacterium	1.9627604597289
OG0012545	bacterium	1.3008100402468
OG0012575	bacterium	2.53339634763698
OG0012596	bacterium	1.87001709287303
OG0012633	bacterium	1.10353397525237
OG0012656	bacterium	2.89656723973096
OG0012675	bacterium	1.35480570073053
OG0012680	bacterium	1.21245074578133
OG0012686	bacterium	2.15488358983975
OG0012687	bacterium	2.21394892818302
OG0012690	bacterium	2.72179159532927
OG0012742	bacterium	3.34847202002046
OG0012847	bacterium	1.41838346668923
OG0012855	bacterium	1.5696040543281
OG0012875	bacterium	1.15909961563936
OG0012890	bacterium	1.01779674053619
OG0012893	bacterium	2.59984358984901
OG0012906	bacterium	1.37341316657331
OG0013045	bacterium	3.52640265683314
OG0013055	bacterium	1.23293631806121
OG0013099	bacterium	1.30923207371766
OG0013104	bacterium	3.12330223185341
OG0013117	bacterium	1.44868225754939
OG0013295	bacterium	6.07585014525977
OG0013348	bacterium	1.65742374219957
OG0013359	bacterium	1.09321957799126
OG0013398	bacterium	5.0033444743923
OG0013431	bacterium	1.25117095879133
OG0013478	bacterium	1.78980529437147
OG0013500	bacterium	1.50283126921081
OG0013581	bacterium	1.54599547142173
OG0013665	bacterium	4.10700811173155
OG0013743	bacterium	1.24725368776239
OG0013762	bacterium	1.30682943101929
OG0013791	bacterium	4.17139492738852
OG0013997	bacterium	1.28369892105295
OG0014043	bacterium	1.30307085865773
OG0014046	bacterium	2.1395838621922
OG0014065	bacterium	1.94693740772341
OG0014082	bacterium	1.28578070324262
OG0014103	bacterium	1.36773234265925
OG0014123	bacterium	1.4681976606785
OG0014238	bacterium	1.57063170539259
OG0014283	bacterium	3.00700112081204
OG0014428	bacterium	1.10670713679756
OG0014472	bacterium	1.03510626986599
OG0014482	bacterium	1.24715857775956
OG0014651	bacterium	1.04708092588833
OG0014782	bacterium	1.09849864984721
OG0014802	bacterium	1.6657094110197
OG0014811	bacterium	1.05784497917272
OG0014893	bacterium	2.03969801758022
OG0014964	bacterium	1.72316198657486
OG0015137	bacterium	1.22988812377643
OG0015194	bacterium	1.82747986532066
OG0015471	bacterium	1.84134610170002
OG0015565	bacterium	2.95897677701552
OG0015585	bacterium	5.55878219400049
OG0015593	bacterium	2.16498464126567
OG0015616	bacterium	1.52443690984067
OG0015833	bacterium	7.34180974807308
OG0015857	bacterium	1.83528320953447
OG0015869	bacterium	1.44979375631475
OG0016115	bacterium	1.67657428632601
OG0016167	bacterium	2.49263106885196
OG0016189	bacterium	1.74052546439604
OG0016254	bacterium	3.82136877619919
OG0016455	bacterium	2.96715858171048
OG0016520	bacterium	8.3459171493052
OG0016653	bacterium	1.39434637735852
OG0016744	bacterium	5.15433351369713
OG0016902	bacterium	2.72702844288457
OG0017060	bacterium	3.12627466628781
OG0017152	bacterium	3.85549005002811
OG0017324	bacterium	3.84399657706427
OG0017460	bacterium	1.27165562996632
OG0017579	bacterium	3.00076805517618
OG0017654	bacterium	1.25503329033868
OG0017824	bacterium	1.50566006858283
OG0017974	bacterium	1.3467104856168
OG0018030	bacterium	4.63332519147419
OG0018252	bacterium	5.9548563818986
OG0018641	bacterium	3.40106317680038
OG0018651	bacterium	3.12910238295238
OG0018805	bacterium	2.35286211656944
OG0018918	bacterium	3.72792086739567
OG0018966	bacterium	1.23857022282484
OG0019039	bacterium	1.49330846596269
OG0019150	bacterium	2.07879712923411
OG0019195	bacterium	1.84144543571257
OG0019206	bacterium	4.84867059383739
OG0019515	bacterium	1.4265032984704
OG0019612	bacterium	1.91586840885406
OG0019714	bacterium	2.07026770087801
OG0019975	bacterium	4.0536946138137
OG0020092	bacterium	1.0782950909482
OG0020148	bacterium	7.93451860189697
OG0020357	bacterium	1.07100842597052
OG0020451	bacterium	1.59268051017561
OG0020728	bacterium	1.69082044953413
OG0020740	bacterium	10.5046833204766
OG0022288	bacterium	5.85001768796603
OG0022328	bacterium	2.90881282306917
OG0022350	bacterium	4.73790947571518
OG0022389	bacterium	1.52586957079897
OG0022952	bacterium	2.31979885926103
OG0023327	bacterium	1.26191623087146
OG0023926	bacterium	1.05662274932743
OG0024131	bacterium	2.26511375629904
OG0024270	bacterium	2.71394089781544
OG0024284	bacterium	1.98078693547567
OG0024287	bacterium	4.20894306660594
OG0024294	bacterium	7.02383409144076
OG0024308	bacterium	2.88964907370859
OG0024343	bacterium	1.70781732271914
OG0025090	bacterium	7.88497054210151
OG0025303	bacterium	1.5570715671389
OG0025369	bacterium	2.88332836484099
OG0025410	bacterium	8.08263461804846
OG0026130	bacterium	1.54592563820826
OG0026352	bacterium	5.24618982779401
OG0026458	bacterium	1.18144510375336
OG0026551	bacterium	4.32601439772572
OG0026561	bacterium	1.24828197421211
OG0026850	bacterium	1.11103201745065
OG0027092	bacterium	3.04954292272862
OG0028565	bacterium	1.2954634861592
OG0028593	bacterium	1.28357367492791
OG0029850	bacterium	2.29547551411944
OG0030091	bacterium	1.50415353719645
OG0030194	bacterium	1.09670280047815
OG0030393	bacterium	4.88285908733453
OG0031102	bacterium	2.62165585892814
OG0031121	bacterium	2.09590434111864
OG0031135	bacterium	4.37077238318192
OG0031143	bacterium	3.45357110827006
OG0031167	bacterium	2.15999376370788
OG0031193	bacterium	8.24905686983146
OG0031200	bacterium	3.43643856969398
OG0031341	bacterium	2.83965587794104
OG0031348	bacterium	5.17659687579056
OG0031362	bacterium	5.21136464149024
OG0033258	bacterium	7.75256240880081
OG0033273	bacterium	2.72282164856615
OG0033326	bacterium	7.13025080503198
OG0033378	bacterium	1.64852815922319
OG0033494	bacterium	3.2750096602659
OG0033505	bacterium	5.07352133001546
