gene_id	logFC	species	host	treat
Medtr5g074860	2.24331883220648	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g103450	2.23640868677399	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g116850	-2.2362490520436697	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g016275	-2.23547970070975	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g027740	-2.2340166062586	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g064160	2.2298561521646203	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g080250	2.22901237345737	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g042980	-2.22053243601629	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g066240	-2.2003485146568	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g465430	2.19054791916775	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g099820	2.1850530005274402	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr1g093080	-2.1839793632216398	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g039410	2.17706843890533	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr8g464300	-2.17062303554139	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr6g488150	2.16335427566122	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr5g023240	2.15958667151258	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g035405	2.15939463462493	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g021255	-2.14978555109448	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr7g112560	-2.14944560774848	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr4g063090	-2.14771390481204	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
Medtr2g435690	2.14756059052743	Mtruncatula	S.medicae	TSLN_2d-TSLN_0d
