gene_id	logFC	species	host	treat
Ghir_D11G008830	-4.0223385417806	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D10G000060	4.021773771395599	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A05G014340	3.9836091200268196	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D06G002370	-3.9630753793647004	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D02G003240	3.9574184475417598	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A07G000860	3.95135390251853	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D09G025440	3.9491294358089397	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A11G032750	3.94064812512464	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D05G003170	3.9276952916926606	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D10G019450	3.9079788296682296	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A08G026030	-3.90354369603378	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D02G023920	-3.8380063819190697	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D04G000620	-3.82394886559995	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D09G019760	-3.80531869464682	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A12G020550	3.7388026211741603	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A12G022690	3.68894368787697	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D07G019160	3.66517849332968	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A11G023200	-3.64393587815867	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A11G000090	3.62618646558704	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D13G004770	3.6182322220108802	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A13G024760	3.59573010093608	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D01G023640	3.5573890570953703	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A01G013220	3.5283308516407206	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D08G022110	3.52493230515107	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A06G001310	-3.5168694873911694	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D13G003110	-3.5025943966302204	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A01G001770	3.4952742088565403	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D10G009970	3.49253821855596	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A07G021340	3.47746596078213	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D07G024930	3.44476716572801	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A12G028590	3.42029004065108	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A12G007570	-3.3981968423227102	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D07G001400	3.37822882924142	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A11G032300	-3.35931355289009	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A04G009700	-3.3588828262717905	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D08G023420	3.35662114319842	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D03G001150	-3.33228859531555	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A13G004660	3.3257541736267595	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D06G002400	-3.3245801657009704	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A01G001740	3.31893712804283	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A09G023850	-3.3178071066046	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D10G019540	3.3148384164686	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A05G020720	3.30062717088871	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D02G000620	3.29104839018636	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D04G016450	-3.2890847221460597	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A12G006310	-3.28360015068226	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A13G016130	3.2645373216544598	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D05G007020	3.25063607445632	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D12G006330	-3.2475973044221496	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D02G008690	-3.2474059425938795	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A05G006980	3.24673148288911	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_A06G008700	3.2403317539416703	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
Ghir_D10G005160	-3.22731581889387	Ghirsutum	A.lucorum	TSAl_36h-TSCK_36h
